Fixed time simulation start ######################################
period_bakup_clks;vol_cntr1_val;vol_cntr_pa_val;framework_pa_val;data_save_pa_val;time;shtdwn_counter;clk_counter;trace_rom_addr;
2;13;288;1613;1482;100 us;12;2513;1250;
4;87;436;1511;1374;100 us;12;2513;1250;
6;79;577;1407;1267;100 us;12;2513;1250;
8;73;672;1349;1203;100 us;12;2513;1250;
10;69;790;1252;1102;100 us;12;2513;1250;
12;130;882;1185;1034;100 us;12;2513;1250;
14;118;959;1131;978;100 us;12;2513;1250;
16;116;1037;1072;914;100 us;12;2513;1250;
18;107;1093;1029;872;100 us;12;2513;1250;
20;115;1147;998;834;100 us;12;2513;1250;
22;149;1199;957;794;100 us;12;2513;1250;
24;141;1248;927;757;100 us;12;2513;1250;
26;138;1308;878;703;100 us;12;2513;1250;
28;129;1364;829;658;100 us;12;2513;1250;
30;162;1391;818;646;100 us;12;2513;1250;
32;152;1422;793;620;100 us;12;2513;1250;
34;148;1461;767;591;100 us;12;2513;1250;
36;144;1494;740;566;100 us;12;2513;1250;
38;147;1511;731;557;100 us;12;2513;1250;
40;167;1525;725;547;100 us;12;2513;1250;
42;166;1553;699;519;100 us;12;2513;1250;
44;155;1585;676;496;100 us;12;2513;1250;
46;145;1617;654;472;100 us;12;2513;1250;
48;173;1642;637;454;100 us;12;2513;1250;
50;167;1655;627;445;100 us;12;2513;1250;
52;166;1663;619;437;100 us;12;2513;1250;
54;159;1671;613;432;100 us;12;2513;1250;
56;170;1676;611;429;100 us;12;2513;1250;
58;183;1686;602;419;100 us;12;2513;1250;
60;182;1702;591;406;100 us;12;2513;1250;
62;168;1724;578;390;100 us;12;2513;1250;
64;168;1748;557;368;100 us;12;2513;1250;
66;191;1768;541;353;100 us;12;2513;1250;
68;175;1784;534;346;100 us;12;2513;1250;
70;174;1796;528;336;100 us;12;2513;1250;
72;173;1814;516;320;100 us;12;2513;1250;
74;184;1832;498;302;100 us;12;2513;1250;
76;184;1850;481;286;100 us;12;2513;1250;
78;174;1866;467;273;100 us;12;2513;1250;
80;156;1880;457;265;100 us;12;2513;1250;
82;155;1890;453;261;100 us;12;2513;1250;
84;171;1904;444;248;100 us;12;2513;1250;
86;151;1918;430;236;100 us;12;2513;1250;
88;140;1934;420;226;100 us;12;2513;1250;
90;140;1950;411;216;100 us;12;2513;1250;
92;139;1966;398;202;100 us;12;2513;1250;
94;143;1980;387;192;100 us;12;2513;1250;
96;132;1988;381;187;100 us;12;2513;1250;
98;131;1991;381;187;100 us;12;2513;1250;
100;131;1991;381;187;100 us;12;2513;1250;
102;141;1991;381;187;100 us;12;2513;1250;
104;141;1991;381;187;100 us;12;2513;1250;
106;140;1991;381;187;100 us;12;2513;1250;
108;140;1991;381;187;100 us;12;2513;1250;
110;147;1991;381;187;100 us;12;2513;1250;
112;150;1991;381;187;100 us;12;2513;1250;
114;150;1991;381;187;100 us;12;2513;1250;
116;149;1991;381;187;100 us;12;2513;1250;
118;149;1991;381;187;100 us;12;2513;1250;
120;159;1991;381;187;100 us;12;2513;1250;
122;159;1991;381;187;100 us;12;2513;1250;
124;158;1991;381;187;100 us;12;2513;1250;
126;158;1991;381;187;100 us;12;2513;1250;
128;165;1991;381;187;100 us;12;2513;1250;
130;168;1991;381;187;100 us;12;2513;1250;
132;168;1991;381;187;100 us;12;2513;1250;
134;167;1991;381;187;100 us;12;2513;1250;
136;167;1995;380;184;100 us;12;2513;1250;
138;177;1999;376;180;100 us;12;2513;1250;
140;177;2004;372;176;100 us;12;2513;1250;
142;176;2010;368;170;100 us;12;2513;1250;
144;160;2019;363;164;100 us;12;2513;1250;
146;169;2027;357;158;100 us;12;2513;1250;
148;170;2037;350;149;100 us;12;2513;1250;
150;170;2047;340;139;100 us;12;2513;1250;
152;170;2057;330;130;100 us;12;2513;1250;
154;170;2066;324;124;100 us;12;2513;1250;
156;161;2073;319;120;100 us;12;2513;1250;
158;143;2079;317;117;100 us;12;2513;1250;
160;143;2083;315;115;100 us;12;2513;1250;
162;142;2086;313;113;100 us;12;2513;1250;
164;149;2090;311;111;100 us;12;2513;1250;
166;149;2096;309;105;100 us;12;2513;1250;
168;149;2102;303;99;100 us;12;2513;1250;
170;149;2108;297;93;100 us;12;2513;1250;
172;148;2114;291;87;100 us;12;2513;1250;
174;135;2120;285;82;100 us;12;2513;1250;
176;135;2126;281;78;100 us;12;2513;1250;
178;135;2131;277;74;100 us;12;2513;1250;
180;134;2135;273;70;100 us;12;2513;1250;
182;98;2139;269;68;100 us;12;2513;1250;
184;98;2143;269;68;100 us;12;2513;1250;
186;98;2145;269;68;100 us;12;2513;1250;
188;98;2146;269;68;100 us;12;2513;1250;
190;97;2148;269;66;100 us;12;2513;1250;
192;101;2150;267;64;100 us;12;2513;1250;
194;101;2152;265;62;100 us;12;2513;1250;
196;101;2154;263;60;100 us;12;2513;1250;
198;100;2156;261;58;100 us;12;2513;1250;
200;104;2158;259;56;100 us;12;2513;1250;
202;104;2160;257;54;100 us;12;2513;1250;
204;104;2162;255;52;100 us;12;2513;1250;
206;81;2164;253;51;100 us;12;2513;1250;
208;80;2166;253;51;100 us;12;2513;1250;
210;83;2167;253;51;100 us;12;2513;1250;
212;83;2167;253;51;100 us;12;2513;1250;
214;83;2167;253;51;100 us;12;2513;1250;
216;82;2167;253;51;100 us;12;2513;1250;
218;85;2167;253;51;100 us;12;2513;1250;
220;85;2167;253;51;100 us;12;2513;1250;
222;85;2167;253;51;100 us;12;2513;1250;
224;85;2167;253;51;100 us;12;2513;1250;
226;84;2167;253;51;100 us;12;2513;1250;
228;87;2167;253;51;100 us;12;2513;1250;
230;87;2167;253;51;100 us;12;2513;1250;
232;87;2167;253;51;100 us;12;2513;1250;
234;86;2167;253;51;100 us;12;2513;1250;
236;89;2167;253;51;100 us;12;2513;1250;
238;89;2167;253;51;100 us;12;2513;1250;
240;89;2167;253;51;100 us;12;2513;1250;
242;89;2167;253;51;100 us;12;2513;1250;
244;88;2167;253;51;100 us;12;2513;1250;
246;91;2167;253;51;100 us;12;2513;1250;
248;91;2167;253;51;100 us;12;2513;1250;
250;91;2167;253;51;100 us;12;2513;1250;
252;90;2167;253;51;100 us;12;2513;1250;
254;93;2167;253;51;100 us;12;2513;1250;
256;93;2167;253;51;100 us;12;2513;1250;
258;93;2167;253;51;100 us;12;2513;1250;
260;93;2167;253;51;100 us;12;2513;1250;
262;92;2167;253;51;100 us;12;2513;1250;
264;95;2167;253;51;100 us;12;2513;1250;
266;95;2167;253;51;100 us;12;2513;1250;
268;95;2167;253;51;100 us;12;2513;1250;
270;94;2167;253;51;100 us;12;2513;1250;
272;97;2167;253;51;100 us;12;2513;1250;
274;97;2167;253;51;100 us;12;2513;1250;
276;97;2167;253;51;100 us;12;2513;1250;
278;97;2167;253;51;100 us;12;2513;1250;
280;96;2167;253;51;100 us;12;2513;1250;
282;99;2167;253;51;100 us;12;2513;1250;
284;99;2167;253;51;100 us;12;2513;1250;
286;99;2167;253;51;100 us;12;2513;1250;
288;98;2167;253;51;100 us;12;2513;1250;
290;101;2167;253;51;100 us;12;2513;1250;
292;101;2168;253;51;100 us;12;2513;1250;
294;101;2170;253;49;100 us;12;2513;1250;
296;101;2172;251;47;100 us;12;2513;1250;
298;100;2174;249;45;100 us;12;2513;1250;
300;103;2176;247;43;100 us;12;2513;1250;
302;103;2178;245;41;100 us;12;2513;1250;
304;103;2180;243;39;100 us;12;2513;1250;
306;102;2182;241;37;100 us;12;2513;1250;
308;105;2184;239;35;100 us;12;2513;1250;
310;70;2188;237;33;100 us;12;2513;1250;
312;70;2192;236;31;100 us;12;2513;1250;
314;70;2195;234;29;100 us;12;2513;1250;
316;71;2198;232;27;100 us;12;2513;1250;
318;72;2202;230;23;100 us;12;2513;1250;
320;72;2206;226;19;100 us;12;2513;1250;
322;72;2210;222;15;100 us;12;2513;1250;
324;72;2214;218;11;100 us;12;2513;1250;
326;74;2218;214;7;100 us;12;2513;1250;
328;74;2222;211;5;100 us;12;2513;1250;
330;74;2226;209;3;100 us;12;2513;1250;
332;74;2228;207;1;100 us;12;2513;1250;
334;37;2230;205;0;100 us;12;2513;1250;
336;37;2232;205;0;100 us;12;2513;1250;
338;37;2233;205;0;100 us;12;2513;1250;
340;37;2233;205;0;100 us;12;2513;1250;
342;37;2233;205;0;100 us;12;2513;1250;
344;37;2233;205;0;100 us;12;2513;1250;
346;37;2233;205;0;100 us;12;2513;1250;
348;37;2233;205;0;100 us;12;2513;1250;
350;37;2233;205;0;100 us;12;2513;1250;
352;37;2233;205;0;100 us;12;2513;1250;
354;37;2233;205;0;100 us;12;2513;1250;
356;37;2233;205;0;100 us;12;2513;1250;
358;37;2233;205;0;100 us;12;2513;1250;
360;37;2233;205;0;100 us;12;2513;1250;
362;37;2233;205;0;100 us;12;2513;1250;
364;37;2233;205;0;100 us;12;2513;1250;
366;37;2233;205;0;100 us;12;2513;1250;
368;37;2233;205;0;100 us;12;2513;1250;
370;37;2233;205;0;100 us;12;2513;1250;
372;37;2233;205;0;100 us;12;2513;1250;
374;37;2233;205;0;100 us;12;2513;1250;
376;37;2233;205;0;100 us;12;2513;1250;
378;37;2233;205;0;100 us;12;2513;1250;
380;37;2233;205;0;100 us;12;2513;1250;
382;37;2233;205;0;100 us;12;2513;1250;
384;37;2233;205;0;100 us;12;2513;1250;
386;37;2233;205;0;100 us;12;2513;1250;
388;37;2233;205;0;100 us;12;2513;1250;
390;37;2233;205;0;100 us;12;2513;1250;
392;37;2233;205;0;100 us;12;2513;1250;
394;37;2233;205;0;100 us;12;2513;1250;
396;37;2233;205;0;100 us;12;2513;1250;
398;37;2233;205;0;100 us;12;2513;1250;
Fixed time simulation end ########################################

Fixed value simulation start #####################################
period_bakup_clks;time;shtdwn_counter;clk_counter;trace_rom_addr;vol_cntr_pa_val;framework_pa_val;data_save_pa_val;fixed_vol_cntr1_val;
