Fixed time simulation start ######################################
hazard_threshold_val;vol_cntr1_val;vol_cntr_pa_val;framework_pa_val;data_save_pa_val;time;shtdwn_counter;clk_counter;trace_rom_addr;
3000;207;2033;357;145;100 us;12;2513;1250;
3010;205;2012;375;165;100 us;12;2513;1250;
3020;205;2012;375;165;100 us;12;2513;1250;
3030;223;1981;397;187;100 us;12;2513;1250;
3040;223;1981;397;187;100 us;12;2513;1250;
3050;221;1959;413;204;100 us;12;2513;1250;
3060;220;1956;413;206;100 us;12;2513;1250;
3070;220;1956;413;206;100 us;12;2513;1250;
3080;217;1931;429;225;100 us;12;2513;1250;
3090;212;1898;450;251;100 us;12;2513;1250;
3100;212;1898;450;251;100 us;12;2513;1250;
3110;208;1868;472;279;100 us;12;2513;1250;
3120;208;1868;472;279;100 us;12;2513;1250;
3130;208;1868;472;279;100 us;12;2513;1250;
3140;204;1846;488;296;100 us;12;2513;1250;
3150;204;1846;488;296;100 us;12;2513;1250;
3160;203;1835;497;307;100 us;12;2513;1250;
3170;204;1835;497;307;100 us;12;2513;1250;
3180;203;1820;506;317;100 us;12;2513;1250;
3190;203;1820;506;317;100 us;12;2513;1250;
3200;203;1820;506;317;100 us;12;2513;1250;
3210;203;1815;508;318;100 us;12;2513;1250;
3220;202;1815;508;318;100 us;12;2513;1250;
3230;202;1815;508;318;100 us;12;2513;1250;
3240;199;1793;524;335;100 us;12;2513;1250;
3250;196;1762;545;356;100 us;12;2513;1250;
3260;196;1762;545;356;100 us;12;2513;1250;
3270;196;1762;545;356;100 us;12;2513;1250;
3280;193;1751;551;364;100 us;12;2513;1250;
3290;193;1751;551;364;100 us;12;2513;1250;
3300;194;1751;551;364;100 us;12;2513;1250;
3310;193;1750;551;364;100 us;12;2513;1250;
3320;191;1748;551;364;100 us;12;2513;1250;
3330;188;1726;567;381;100 us;12;2513;1250;
3340;186;1714;576;389;100 us;12;2513;1250;
3350;183;1692;592;406;100 us;12;2513;1250;
3360;183;1681;602;415;100 us;12;2513;1250;
3370;183;1681;602;415;100 us;12;2513;1250;
3380;183;1681;602;415;100 us;12;2513;1250;
3390;183;1681;602;415;100 us;12;2513;1250;
3400;179;1651;623;436;100 us;12;2513;1250;
3410;178;1629;639;453;100 us;12;2513;1250;
3420;178;1619;646;459;100 us;12;2513;1250;
3430;175;1586;673;487;100 us;12;2513;1250;
3440;171;1554;702;518;100 us;12;2513;1250;
3450;171;1554;702;518;100 us;12;2513;1250;
3460;171;1554;702;518;100 us;12;2513;1250;
3470;171;1554;702;518;100 us;12;2513;1250;
3480;171;1532;721;535;100 us;12;2513;1250;
3490;167;1520;726;541;100 us;12;2513;1250;
3500;167;1520;726;541;100 us;12;2513;1250;
3510;167;1520;726;541;100 us;12;2513;1250;
3520;162;1487;753;569;100 us;12;2513;1250;
3530;161;1487;753;569;100 us;12;2513;1250;
3540;160;1485;753;569;100 us;12;2513;1250;
3550;160;1485;753;569;100 us;12;2513;1250;
3560;160;1485;753;569;100 us;12;2513;1250;
3570;157;1463;769;586;100 us;12;2513;1250;
3580;153;1441;785;603;100 us;12;2513;1250;
3590;153;1441;785;603;100 us;12;2513;1250;
3600;152;1436;787;607;100 us;12;2513;1250;
3610;152;1436;787;607;100 us;12;2513;1250;
3620;152;1436;787;607;100 us;12;2513;1250;
3630;149;1414;803;624;100 us;12;2513;1250;
3640;149;1414;803;624;100 us;12;2513;1250;
3650;149;1414;803;624;100 us;12;2513;1250;
3660;148;1411;803;626;100 us;12;2513;1250;
3670;148;1411;803;626;100 us;12;2513;1250;
3680;148;1411;803;626;100 us;12;2513;1250;
3690;147;1397;810;634;100 us;12;2513;1250;
3700;147;1397;810;634;100 us;12;2513;1250;
3710;144;1375;826;651;100 us;12;2513;1250;
3720;144;1375;826;651;100 us;12;2513;1250;
3730;138;1320;867;696;100 us;12;2513;1250;
3740;135;1298;883;713;100 us;12;2513;1250;
3750;134;1287;893;722;100 us;12;2513;1250;
3760;132;1265;909;739;100 us;12;2513;1250;
3770;132;1265;909;739;100 us;12;2513;1250;
3780;130;1254;916;745;100 us;12;2513;1250;
3790;129;1245;922;753;100 us;12;2513;1250;
3800;127;1223;938;770;100 us;12;2513;1250;
3810;127;1223;938;770;100 us;12;2513;1250;
3820;125;1213;945;779;100 us;12;2513;1250;
3830;125;1213;945;779;100 us;12;2513;1250;
3840;124;1202;954;787;100 us;12;2513;1250;
3850;123;1202;954;787;100 us;12;2513;1250;
3860;122;1202;954;787;100 us;12;2513;1250;
3870;122;1202;954;787;100 us;12;2513;1250;
3880;121;1196;957;789;100 us;12;2513;1250;
3890;121;1196;957;789;100 us;12;2513;1250;
3900;121;1196;957;789;100 us;12;2513;1250;
3910;121;1196;957;789;100 us;12;2513;1250;
3920;121;1196;957;789;100 us;12;2513;1250;
3930;121;1196;957;789;100 us;12;2513;1250;
3940;120;1185;966;800;100 us;12;2513;1250;
3950;120;1185;966;800;100 us;12;2513;1250;
3960;119;1174;977;811;100 us;12;2513;1250;
