Fixed time simulation start ######################################
task_value_tb;vol_cntr1_val;vol_cntr_pa_val;framework_pa_val;data_save_pa_val;time;shtdwn_counter;clk_counter;trace_rom_addr;
1;90;393;1548;1417;100 us;12;2513;1250;
2;132;925;1152;1001;100 us;12;2513;1250;
3;153;1192;961;797;100 us;12;2513;1250;
4;158;1409;805;633;100 us;12;2513;1250;
5;173;1530;716;540;100 us;12;2513;1250;
6;174;1639;639;457;100 us;12;2513;1250;
7;184;1679;609;426;100 us;12;2513;1250;
8;183;1809;512;322;100 us;12;2513;1250;
9;193;1835;495;299;100 us;12;2513;1250;
10;171;1900;448;252;100 us;12;2513;1250;
11;154;1987;381;183;100 us;12;2513;1250;
12;141;1991;381;187;100 us;12;2513;1250;
13;150;1991;381;187;100 us;12;2513;1250;
14;159;1991;381;187;100 us;12;2513;1250;
15;168;1991;381;187;100 us;12;2513;1250;
16;177;1998;377;181;100 us;12;2513;1250;
17;170;2029;356;157;100 us;12;2513;1250;
18;162;2079;314;113;100 us;12;2513;1250;
19;149;2090;311;111;100 us;12;2513;1250;
20;155;2117;288;84;100 us;12;2513;1250;
21;37;2230;205;0;100 us;12;2513;1250;
22;101;2149;268;65;100 us;12;2513;1250;
23;104;2158;259;56;100 us;12;2513;1250;
24;37;2233;205;0;100 us;12;2513;1250;
25;85;2167;253;51;100 us;12;2513;1250;
26;87;2167;253;51;100 us;12;2513;1250;
27;89;2167;253;51;100 us;12;2513;1250;
28;91;2167;253;51;100 us;12;2513;1250;
29;93;2167;253;51;100 us;12;2513;1250;
30;95;2167;253;51;100 us;12;2513;1250;
31;97;2167;253;51;100 us;12;2513;1250;
32;99;2167;253;51;100 us;12;2513;1250;
33;101;2167;253;51;100 us;12;2513;1250;
34;103;2175;248;44;100 us;12;2513;1250;
35;105;2184;239;35;100 us;12;2513;1250;
36;72;2200;231;25;100 us;12;2513;1250;
37;74;2218;214;7;100 us;12;2513;1250;
38;37;2231;205;0;100 us;12;2513;1250;
39;37;2233;205;0;100 us;12;2513;1250;
40;37;2233;205;0;100 us;12;2513;1250;
41;37;2233;205;0;100 us;12;2513;1250;
42;37;2233;205;0;100 us;12;2513;1250;
43;37;2233;205;0;100 us;12;2513;1250;
44;37;2233;205;0;100 us;12;2513;1250;
45;37;2233;205;0;100 us;12;2513;1250;
46;37;2233;205;0;100 us;12;2513;1250;
47;37;2233;205;0;100 us;12;2513;1250;
48;37;2233;205;0;100 us;12;2513;1250;
49;37;2233;205;0;100 us;12;2513;1250;
50;37;2233;205;0;100 us;12;2513;1250;
51;37;2233;205;0;100 us;12;2513;1250;
52;37;2233;205;0;100 us;12;2513;1250;
53;37;2233;205;0;100 us;12;2513;1250;
54;37;2233;205;0;100 us;12;2513;1250;
55;37;2233;205;0;100 us;12;2513;1250;
Fixed time simulation end ########################################

Fixed value simulation start #####################################
task_value_tb;vol_cntr1_val;vol_cntr_pa_val;framework_pa_val;data_save_pa_val;time;shtdwn_counter;clk_counter;trace_rom_addr;
1;1000;4309;17347;15733;1240585 ns;158;28060;1377;
2;1000;6968;8899;7647;852145 ns;108;19216;1232;
3;1000;7933;6359;5190;732185 ns;93;16676;1302;
4;1000;9090;5255;4053;725505 ns;92;16304;1219;
5;1000;8879;4321;3187;685385 ns;85;14812;717;
6;1000;11053;3882;2598;726395 ns;92;16393;1230;
